-840	-100
-760	-100
-640	-100
-560	-100
-440	-100
-360	-100
-240	-100
-160	-100
-40	-100
40	-100
160	-100
240	-100
360	-100
440	-100
560	-100
640	-100
760	-100
840	-100
-880	-50
-720	-50
-680	-50
-520	-50
-480	-50
-320	-50
-280	-50
-120	-50
-80	-50
80	-50
120	-50
280	-50
320	-50
480	-50
520	-50
680	-50
720	-50
880	-50
-840	0
-760	0
-640	0
-560	0
-440	0
-360	0
-240	0
-160	0
-40	0
40	0
160	0
240	0
360	0
440	0
560	0
640	0
760	0
840	0
-880	50
-720	50
-680	50
-520	50
-480	50
-320	50
-280	50
-120	50
-80	50
80	50
120	50
280	50
320	50
480	50
520	50
680	50
720	50
880	50
-840	100
-760	100
-640	100
-560	100
-440	100
-360	100
-240	100
-160	100
-40	100
40	100
160	100
240	100
360	100
440	100
560	100
640	100
760	100
840	100
